category,brand,name,description,price,stock,availability_status,utilization_status
Accessories,Samsung,Test product - Samsung Charger,A reliable charger with fast charging support.,1226921,74,1,0
Accessories,Samsung,Test product - Samsung Charger,A high-capacity power bank for all your devices.,1963918,68,1,0
Laptops,HP,Test product - MacBook Pro 2023,Dell's premium ultrabook with excellent battery life.,1508633,41,0,1
Laptops,HP,Test product - EliteBook 840,Apple's latest MacBook Pro with advanced M2 chip.,952494,30,0,1
Accessories,Anker,Test product - Anker PowerCore 20000,A high-capacity power bank for all your devices.,223235,52,0,0
Console,Sony,Test product - PlayStation 3,The latest PlayStation 5 with ultra-fast SSD.,1616460,44,0,0
Console,Sony,Test product - PlayStation 5,The latest PlayStation 5 with ultra-fast SSD.,1213067,35,1,1
Phones,Samsung,Test product - iPhone 14 Pro,The latest iPhone with state-of-the-art features.,243034,42,1,0
Console,Sony,Test product - PlayStation 4,The latest PlayStation 5 with ultra-fast SSD.,1489102,71,0,0
Phones,Apple,Test product - Samsung Galaxy S24 Ultra,Samsung's flagship phone with a stunning display.,1549867,85,1,0
Accessories,Anker,Test product - Anker PowerCore 20000,A reliable charger with fast charging support.,705267,73,1,1
Phones,Samsung,Test product - Samsung Galaxy S24 Ultra,The latest iPhone with state-of-the-art features.,391024,94,1,1
Phones,Apple,Test product - iPhone 14 Pro,Samsung's flagship phone with a stunning display.,1899756,19,1,0
Accessories,Anker,Test product - Samsung Charger,A high-capacity power bank for all your devices.,749243,94,1,1
Laptops,HP,Test product - XPS 13,Apple's latest MacBook Pro with advanced M2 chip.,867443,59,0,1
Laptops,HP,Test product - EliteBook 840,Dell's premium ultrabook with excellent battery life.,1674032,83,0,1
Laptops,HP,Test product - MacBook Pro 2023,Dell's premium ultrabook with excellent battery life.,873798,61,0,1
Console,Sony,Test product - PlayStation 5,The latest PlayStation 5 with ultra-fast SSD.,294976,52,1,0
Laptops,Dell,Test product - XPS 12,A high-performance laptop with top-notch features.,1374055,76,1,1
Laptops,HP,Test product - XPS 13,A high-performance laptop with top-notch features.,1261397,91,0,1
Laptops,HP,Test product - MacBook Pro 2023,Dell's premium ultrabook with excellent battery life.,919645,74,0,0
Accessories,Samsung,Test product - Samsung Charger,A high-capacity power bank for all your devices.,1892797,49,0,1
Laptops,Dell,Test product - MacBook Pro 2024,Apple's latest MacBook Pro with advanced M2 chip.,1101996,54,0,1
Phones,Samsung,Test product - iPhone 15 Pro,Samsung's flagship phone with a stunning display.,1524723,90,1,1
Accessories,Anker,Test product - Samsung Charger,A reliable charger with fast charging support.,305618,98,0,0
Laptops,Apple,Test product - XPS 14,Dell's premium ultrabook with excellent battery life.,1012163,39,0,1
Console,Sony,Test product - PlayStation 5 slim,The latest PlayStation 5 with ultra-fast SSD.,1686990,46,1,0
Console,Sony,Test product - PlayStation 5,The latest PlayStation 5 with ultra-fast SSD.,670924,80,1,0
Laptops,Apple,Test product - XPS 13,Apple's latest MacBook Pro with advanced M2 chip.,418301,16,1,0
Accessories,Samsung,Test product - Anker PowerCore 20000,A reliable charger with fast charging support.,1885672,62,0,1
Phones,Samsung,Test product - Samsung Galaxy S23 Ultra,Samsung's flagship phone with a stunning display.,1382876,33,1,0
Accessories,Anker,Test product - Anker PowerCore 20000,A high-capacity power bank for all your devices.,1334391,82,1,0
Laptops,Dell,Test product - MacBook air 2023,A high-performance laptop with top-notch features.,717342,56,0,1
Phones,Apple,Test product - Samsung Galaxy S23 Ultra,Samsung's flagship phone with a stunning display.,532046,60,0,0
Laptops,Apple,Test product - EliteBook 830,Dell's premium ultrabook with excellent battery life.,780105,41,0,0
Accessories,Anker,Test product - Anker PowerCore 25000,A high-capacity power bank for all your devices.,1148292,71,0,0
Accessories,Anker,Test product - Anker PowerCore 30000,A high-capacity power bank for all your devices.,406193,63,0,1
Laptops,Dell,Test product - EliteBook 850,Dell's premium ultrabook with excellent battery life.,533067,71,1,0
Console,Sony,Test product - PlayStation 4,The latest PlayStation 5 with ultra-fast SSD.,1502248,66,0,1
Phones,Apple,Test product - iPhone 14 Pro max,The latest iPhone with state-of-the-art features.,1277895,60,1,0
Accessories,Anker,Test product - Anker PowerCore 20000,A reliable charger with fast charging support.,1969633,60,0,1
Laptops,Apple,Test product - XPS 13,Apple's latest MacBook Pro with advanced M2 chip.,1615524,82,0,1
Phones,Apple,Test product - iPhone 16 Pro,The latest iPhone with state-of-the-art features.,710426,65,0,1
Laptops,Apple,Test product - MacBook Pro 2022,A high-performance laptop with top-notch features.,331539,70,1,0
Laptops,HP,Test product - XPS 13,A high-performance laptop with top-notch features.,653670,99,0,1
Console,Sony,Test product - PlayStation 5 slim,The latest PlayStation 5 with ultra-fast SSD.,979917,27,1,0
Laptops,HP,Test product - XPS 13,A high-performance laptop with top-notch features.,1513113,35,1,0
Phones,Apple,Test product - iPhone 12,Samsung's flagship phone with a stunning display.,1040286,13,0,0
Phones,Samsung,Test product - iPhone 13 Pro,The latest iPhone with state-of-the-art features.,858690,43,0,0
Phones,Samsung,Test product - Samsung Galaxy S25 Ultra,The latest iPhone with state-of-the-art features.,286204,94,0,1
Laptops,Dell,Test product - XPS 13,A high-performance laptop with top-notch features.,165723,30,1,1
Laptops,Dell,EliteBook 840,Apple's latest MacBook Pro with advanced M2 chip.,736455,36,1,0
Laptops,Apple,Test product - XPS 13,A high-performance laptop with top-notch features.,1564857,36,1,1
Phones,Samsung,Test product - Samsung Galaxy S24 Ultra,Samsung's flagship phone with a stunning display.,845388,78,1,0
Accessories,Samsung,Test product - Anker PowerCore 20000,A reliable charger with fast charging support.,1220703,96,1,0
Accessories,Anker,Test product - Anker PowerCore 20000,A high-capacity power bank for all your devices.,519431,60,1,0
Laptops,Dell,Test product - EliteBook 840,A high-performance laptop with top-notch features.,1444195,15,0,1
Laptops,HP,Test product - XPS 13,A high-performance laptop with top-notch features.,1531299,100,0,0
Laptops,Dell,Test product - EliteBook 840,Apple's latest MacBook Pro with advanced M2 chip.,1879473,12,1,0
Laptops,Dell,Test product - XPS 13,Dell's premium ultrabook with excellent battery life.,1541384,91,0,1
Accessories,Samsung,Test product - Anker PowerCore 20000,A high-capacity power bank for all your devices.,879918,38,0,0
Laptops,HP,Test product - MacBook Pro 2023,Apple's latest MacBook Pro with advanced M2 chip.,369168,12,1,0
Laptops,Apple,Test product - XPS 13,Dell's premium ultrabook with excellent battery life.,322011,81,0,1
Accessories,Samsung,Test product - Samsung Charger,A high-capacity power bank for all your devices.,1521026,84,1,0
Accessories,Anker,Test product - Anker PowerCore 20000,A reliable charger with fast charging support.,258081,27,1,1
Phones,Samsung,Test product - iPhone 14 Pro,The latest iPhone with state-of-the-art features.,101365,63,1,1
Phones,Apple,Test product - Samsung Galaxy S24 Ultra,Samsung's flagship phone with a stunning display.,1239092,44,1,0
Accessories,Anker,Test product - Samsung Charger,A high-capacity power bank for all your devices.,1758937,30,0,0
Phones,Samsung,Test product - Samsung Galaxy S24 Ultra,The latest iPhone with state-of-the-art features.,539017,71,0,1
Laptops,Apple,Test product - EliteBook 840,A high-performance laptop with top-notch features.,1202814,91,1,0
Phones,Apple,Test product - Samsung Galaxy S24 Ultra,Samsung's flagship phone with a stunning display.,1940010,51,1,1
Phones,Apple,Test product - iPhone 14 Pro,Samsung's flagship phone with a stunning display.,610267,61,0,1
Accessories,Anker,Test product - Anker PowerCore 20000,A reliable charger with fast charging support.,142881,92,1,0
Accessories,Samsung,Test product - Anker PowerCore 20000,A high-capacity power bank for all your devices.,1308297,70,0,1
Laptops,Apple,Test product - XPS 13,Dell's premium ultrabook with excellent battery life.,742429,70,0,0
Console,Sony,Test product - PlayStation 5,The latest PlayStation 5 with ultra-fast SSD.,1837177,58,0,1
Phones,Samsung,Test product - iPhone 14 Pro,The latest iPhone with state-of-the-art features.,362504,47,0,1
Laptops,Apple,Test product - MacBook Pro 2023,Dell's premium ultrabook with excellent battery life.,773113,95,1,1
Laptops,Apple,Test product - MacBook Pro 2023,A high-performance laptop with top-notch features.,640980,79,0,0
Laptops,Dell,Test product - MacBook Pro 2023,Apple's latest MacBook Pro with advanced M2 chip.,565630,62,0,1
Laptops,HP,Test product - EliteBook 840,Apple's latest MacBook Pro with advanced M2 chip.,215325,30,1,1
Laptops,Apple,Test product - EliteBook 840,Apple's latest MacBook Pro with advanced M2 chip.,1500129,33,0,1
Laptops,Dell,Test product - MacBook Pro 2023,Dell's premium ultrabook with excellent battery life.,1062165,13,1,1
